id,province_code,name,region_id:id,active
cfg_region_province_012800000,012800000,Ilocos Norte,cfg_country_region_010000000,TRUE
cfg_region_province_012900000,012900000,Ilocos Sur,cfg_country_region_010000000,TRUE
cfg_region_province_013300000,013300000,La Union,cfg_country_region_010000000,TRUE
cfg_region_province_015500000,015500000,Pangasinan,cfg_country_region_010000000,TRUE
cfg_region_province_020900000,020900000,Batanes,cfg_country_region_020000000,TRUE
cfg_region_province_021500000,021500000,Cagayan,cfg_country_region_020000000,TRUE
cfg_region_province_023100000,023100000,Isabela,cfg_country_region_020000000,TRUE
cfg_region_province_025000000,025000000,Nueva Vizcaya,cfg_country_region_020000000,TRUE
cfg_region_province_025700000,025700000,Quirino,cfg_country_region_020000000,TRUE
cfg_region_province_037700000,037700000,Aurora,cfg_country_region_030000000,TRUE
cfg_region_province_030800000,030800000,Bataan,cfg_country_region_030000000,TRUE
cfg_region_province_031400000,031400000,Bulacan,cfg_country_region_030000000,TRUE
cfg_region_province_034900000,034900000,Nueva Ecija,cfg_country_region_030000000,TRUE
cfg_region_province_035400000,035400000,Pampanga,cfg_country_region_030000000,TRUE
cfg_region_province_035401000,035401000,Angeles City,cfg_country_region_030000000,TRUE
cfg_region_province_036900000,036900000,Tarlac,cfg_country_region_030000000,TRUE
cfg_region_province_037100000,037100000,Zambales,cfg_country_region_030000000,TRUE
cfg_region_province_037107000,037107000,Olongapo City,cfg_country_region_030000000,TRUE
cfg_region_province_041000000,041000000,Batangas,cfg_country_region_040000000,TRUE
cfg_region_province_042100000,042100000,Cavite,cfg_country_region_040000000,TRUE
cfg_region_province_043400000,043400000,Laguna,cfg_country_region_040000000,TRUE
cfg_region_province_045600000,045600000,Quezon,cfg_country_region_040000000,TRUE
cfg_region_province_045624000,045624000,Lucena City,cfg_country_region_040000000,TRUE
cfg_region_province_045800000,045800000,Rizal,cfg_country_region_040000000,TRUE
cfg_region_province_174000000,174000000,Marinduque,cfg_country_region_170000000,TRUE
cfg_region_province_175100000,175100000,Occidental Mindoro,cfg_country_region_170000000,TRUE
cfg_region_province_175200000,175200000,Oriental Mindoro,cfg_country_region_170000000,TRUE
cfg_region_province_175300000,175300000,Palawan,cfg_country_region_170000000,TRUE
cfg_region_province_175316000,175316000,Puerto Princesa City (Capital),cfg_country_region_170000000,TRUE
cfg_region_province_175900000,175900000,Romblon,cfg_country_region_170000000,TRUE
cfg_region_province_050500000,050500000,Albay,cfg_country_region_050000000,TRUE
cfg_region_province_051600000,051600000,Camarines Norte,cfg_country_region_050000000,TRUE
cfg_region_province_051700000,051700000,Camarines Sur,cfg_country_region_050000000,TRUE
cfg_region_province_052000000,052000000,Catanduanes,cfg_country_region_050000000,TRUE
cfg_region_province_054100000,054100000,Masbate,cfg_country_region_050000000,TRUE
cfg_region_province_056200000,056200000,Sorsogon,cfg_country_region_050000000,TRUE
cfg_region_province_060400000,060400000,Aklan,cfg_country_region_060000000,TRUE
cfg_region_province_060600000,060600000,Antique,cfg_country_region_060000000,TRUE
cfg_region_province_061900000,061900000,Capiz,cfg_country_region_060000000,TRUE
cfg_region_province_067900000,067900000,Guimaras,cfg_country_region_060000000,TRUE
cfg_region_province_063000000,063000000,Iloilo,cfg_country_region_060000000,TRUE
cfg_region_province_063022000,063022000,Iloilo City (Capital),cfg_country_region_060000000,TRUE
cfg_region_province_071200000,071200000,Bohol,cfg_country_region_070000000,TRUE
cfg_region_province_072200000,072200000,Cebu,cfg_country_region_070000000,TRUE
cfg_region_province_072217000,072217000,Cebu City (Capital),cfg_country_region_070000000,TRUE
cfg_region_province_072226000,072226000,Lapu-lapu City (Opon),cfg_country_region_070000000,TRUE
cfg_region_province_072230000,072230000,Mandaue City ,cfg_country_region_070000000,TRUE
cfg_region_province_076100000,076100000,Siquijor,cfg_country_region_070000000,TRUE
cfg_region_province_087800000,087800000,Biliran,cfg_country_region_080000000,TRUE
cfg_region_province_082600000,082600000,Eastern Samar,cfg_country_region_080000000,TRUE
cfg_region_province_083700000,083700000,Leyte,cfg_country_region_080000000,TRUE
cfg_region_province_083747000,083747000,Tacloban City,cfg_country_region_080000000,TRUE
cfg_region_province_084800000,084800000,Northern Samar,cfg_country_region_080000000,TRUE
cfg_region_province_086400000,086400000,Southern Leyte,cfg_country_region_080000000,TRUE
cfg_region_province_086000000,086000000,Samar (Western Samar),cfg_country_region_080000000,TRUE
cfg_region_province_097200000,097200000,Zamboanga del Norte,cfg_country_region_090000000,TRUE
cfg_region_province_097300000,097300000,Zamboanga del Sur,cfg_country_region_090000000,TRUE
cfg_region_province_097332000,097332000,Zamboanga City,cfg_country_region_090000000,TRUE
cfg_region_province_098300000,098300000,Zamboanga Sibugay,cfg_country_region_090000000,TRUE
cfg_region_province_099700000,099700000,City of Isabela,cfg_country_region_090000000,TRUE
cfg_region_province_101300000,101300000,Bukidnon,cfg_country_region_100000000,TRUE
cfg_region_province_101800000,101800000,Camiguin,cfg_country_region_100000000,TRUE
cfg_region_province_103500000,103500000,Lanao del Norte,cfg_country_region_100000000,TRUE
cfg_region_province_103504000,103504000,Iligan City,cfg_country_region_100000000,TRUE
cfg_region_province_104200000,104200000,Misamis Occidental,cfg_country_region_100000000,TRUE
cfg_region_province_104300000,104300000,Misamis Oriental,cfg_country_region_100000000,TRUE
cfg_region_province_104305000,104305000,Cagayan de Oro City (Capital),cfg_country_region_100000000,TRUE
cfg_region_province_112300000,112300000,Davao del Norte,cfg_country_region_110000000,TRUE
cfg_region_province_112400000,112400000,Davao del Sur,cfg_country_region_110000000,TRUE
cfg_region_province_112500000,112500000,Davao Oriental,cfg_country_region_110000000,TRUE
cfg_region_province_118200000,118200000,Compostela Valley,cfg_country_region_110000000,TRUE
cfg_region_province_118600000,118600000,Davao Occidental,cfg_country_region_110000000,TRUE
cfg_region_province_124700000,124700000,North Cotabato,cfg_country_region_120000000,TRUE
cfg_region_province_129800000,129800000,Cotabato City,cfg_country_region_120000000,
cfg_region_province_128000000,128000000,Sarangani,cfg_country_region_120000000,TRUE
cfg_region_province_126300000,126300000,South Cotabato,cfg_country_region_120000000,TRUE
cfg_region_province_126303000,126303000,General Santos City (Dadiangas),cfg_country_region_120000000,TRUE
cfg_region_province_126500000,126500000,Sultan Kudarat,cfg_country_region_120000000,TRUE
cfg_region_province_160200000,160200000,Agusan del Norte,cfg_country_region_160000000,TRUE
cfg_region_province_160300000,160300000,Agusan del Sur,cfg_country_region_160000000,TRUE
cfg_region_province_166700000,166700000,Surigao del Norte,cfg_country_region_160000000,TRUE
cfg_region_province_166800000,166800000,Surigao del Sur,cfg_country_region_160000000,TRUE
cfg_region_province_168500000,168500000,Dinagat Islands,cfg_country_region_160000000,TRUE
cfg_region_province_150700000,150700000,Basilan,cfg_country_region_150000000,TRUE
cfg_region_province_153600000,153600000,Lanao del Sur,cfg_country_region_150000000,TRUE
cfg_region_province_153800000,153800000,Maguindanao,cfg_country_region_150000000,TRUE
cfg_region_province_156600000,156600000,Sulu,cfg_country_region_150000000,TRUE
cfg_region_province_157000000,157000000,Tawi-tawi,cfg_country_region_150000000,TRUE
cfg_region_province_184500000,184500000,Negros Occidental,cfg_country_region_180000000,TRUE
cfg_region_province_184501000,184501000,Bacolod City (Capital),cfg_country_region_180000000,TRUE
cfg_region_province_184600000,184600000,Negros Oriental,cfg_country_region_180000000,TRUE
cfg_region_province_133900000,133900000,NCR-First District,cfg_country_region_130000000,TRUE
cfg_region_province_137400000,137400000,NCR-Second District,cfg_country_region_130000000,TRUE
cfg_region_province_137500000,137500000,NCR-Third District,cfg_country_region_130000000,TRUE
cfg_region_province_137600000,137600000,NCR-Fourth District,cfg_country_region_130000000,TRUE
cfg_region_province_140100000,140100000,Abra,cfg_country_region_140000000,TRUE
cfg_region_province_148100000,148100000,Apayao,cfg_country_region_140000000,TRUE
cfg_region_province_141100000,141100000,Benguet,cfg_country_region_140000000,TRUE
cfg_region_province_142700000,142700000,Ifugao,cfg_country_region_140000000,TRUE
cfg_region_province_143200000,143200000,Kalinga,cfg_country_region_140000000,TRUE
cfg_region_province_144400000,144400000,Mountain Province,cfg_country_region_140000000,TRUE
